sanction_id,date_implemented,year,month,imposing_country_code,imposing_country,imposing_region,target_country_code,target_country,restriction_type,affected_technology,severity_level,description,source_reference,is_retaliatory,multilateral,status,economic_impact_usd_bn_est,is_synthetic
SC0074,2015-08-07,2015,8,NL,Netherlands,Europe,CN,China,Data_Localization,Advanced_Logic_Chip,3,[Synthetic] Data_Localization on Advanced_Logic_Chip – NL targeting CN (2015),Synthetic/Regulatory Pattern Estimate,1,0,Active,7.29,1
SC0077,2015-08-08,2015,8,NL,Netherlands,Europe,RU,RU,Export_Ban,DUV_Lithography,4,[Synthetic] Export_Ban on DUV_Lithography – NL targeting RU (2015),Synthetic/Regulatory Pattern Estimate,0,1,Active,32.88,1
SC0064,2015-09-21,2015,9,KR,South Korea,Asia-Pacific,RU,RU,Tariff,HBM_Memory,4,[Synthetic] Tariff on HBM_Memory – KR targeting RU (2015),Synthetic/Regulatory Pattern Estimate,0,0,Active,32.99,1
SC0044,2015-10-04,2015,10,NL,Netherlands,Europe,RU,RU,Data_Localization,HBM_Memory,5,[Synthetic] Data_Localization on HBM_Memory – NL targeting RU (2015),Synthetic/Regulatory Pattern Estimate,1,0,Active,6.15,1
SC0047,2015-10-22,2015,10,NL,Netherlands,Europe,TW,Taiwan,Tariff,AI_Accelerator,3,[Synthetic] Tariff on AI_Accelerator – NL targeting TW (2015),Synthetic/Regulatory Pattern Estimate,0,1,Active,16.03,1
SC0049,2015-11-17,2015,11,DE,Germany,Europe,TW,Taiwan,Data_Localization,Telecom_5G_Infrastructure,4,[Synthetic] Data_Localization on Telecom_5G_Infrastructure – DE targeting TW (2015),Synthetic/Regulatory Pattern Estimate,1,0,Active,29.46,1
SC0058,2015-11-09,2015,11,NL,Netherlands,Europe,AE,United Arab Emirates,Export_Ban,DUV_Lithography,2,[Synthetic] Export_Ban on DUV_Lithography – NL targeting AE (2015),Synthetic/Regulatory Pattern Estimate,1,0,Active,19.79,1
SC0061,2015-11-05,2015,11,JP,Japan,Asia-Pacific,IR,IR,Entity_Blacklist,Cloud_AI_Services,2,[Synthetic] Entity_Blacklist on Cloud_AI_Services – JP targeting IR (2015),Synthetic/Regulatory Pattern Estimate,0,0,Active,3.21,1
SC0043,2015-12-17,2015,12,DE,Germany,Europe,PK,Pakistan,Technology_Transfer_Ban,HBM_Memory,1,[Synthetic] Technology_Transfer_Ban on HBM_Memory – DE targeting PK (2015),Synthetic/Regulatory Pattern Estimate,0,1,Active,10.94,1
SC0057,2015-12-19,2015,12,DE,Germany,Europe,IN,India,Technology_Transfer_Ban,Advanced_Logic_Chip,2,[Synthetic] Technology_Transfer_Ban on Advanced_Logic_Chip – DE targeting IN (2015),Synthetic/Regulatory Pattern Estimate,0,0,Active,10.15,1
SC0063,2015-12-18,2015,12,DE,Germany,Europe,TW,Taiwan,Entity_Blacklist,Dual_Use_Electronics,5,[Synthetic] Entity_Blacklist on Dual_Use_Electronics – DE targeting TW (2015),Synthetic/Regulatory Pattern Estimate,1,1,Active,35.84,1
SC0103,2016-01-25,2016,1,EU,EU,Europe,IN,India,Tariff,Cloud_AI_Services,5,[Synthetic] Tariff on Cloud_AI_Services – EU targeting IN (2016),Synthetic/Regulatory Pattern Estimate,0,0,Active,28.86,1
SC0105,2016-02-19,2016,2,JP,Japan,Asia-Pacific,SA,Saudi Arabia,License_Requirement,Dual_Use_Electronics,2,[Synthetic] License_Requirement on Dual_Use_Electronics – JP targeting SA (2016),Synthetic/Regulatory Pattern Estimate,0,1,Active,13.86,1
SC0107,2016-02-25,2016,2,EU,EU,Europe,RU,RU,Export_Ban,Telecom_5G_Infrastructure,3,[Synthetic] Export_Ban on Telecom_5G_Infrastructure – EU targeting RU (2016),Synthetic/Regulatory Pattern Estimate,1,0,Active,30.8,1
SC0092,2016-03-28,2016,3,EU,EU,Europe,TW,Taiwan,Export_Ban,DUV_Lithography,1,[Synthetic] Export_Ban on DUV_Lithography – EU targeting TW (2016),Synthetic/Regulatory Pattern Estimate,1,0,Active,6.85,1
SC0106,2016-03-16,2016,3,JP,Japan,Asia-Pacific,IR,IR,Export_Ban,Dual_Use_Electronics,3,[Synthetic] Export_Ban on Dual_Use_Electronics – JP targeting IR (2016),Synthetic/Regulatory Pattern Estimate,0,1,Active,29.29,1
SC0080,2016-04-21,2016,4,NL,Netherlands,Europe,PK,Pakistan,License_Requirement,HBM_Memory,1,[Synthetic] License_Requirement on HBM_Memory – NL targeting PK (2016),Synthetic/Regulatory Pattern Estimate,0,0,Active,10.67,1
SC0097,2016-04-07,2016,4,NL,Netherlands,Europe,RU,RU,Tariff,Dual_Use_Electronics,2,[Synthetic] Tariff on Dual_Use_Electronics – NL targeting RU (2016),Synthetic/Regulatory Pattern Estimate,1,1,Active,9.11,1
SC0108,2016-04-24,2016,4,DE,Germany,Europe,PK,Pakistan,Export_Ban,AI_Training_Data,4,[Synthetic] Export_Ban on AI_Training_Data – DE targeting PK (2016),Synthetic/Regulatory Pattern Estimate,0,0,Active,21.65,1
SC0079,2016-05-16,2016,5,FR,France,Europe,PK,Pakistan,Tariff,DUV_Lithography,3,[Synthetic] Tariff on DUV_Lithography – FR targeting PK (2016),Synthetic/Regulatory Pattern Estimate,0,1,Active,34.83,1
SC0096,2016-05-03,2016,5,US,United States,North America,PK,Pakistan,Tariff,Cloud_AI_Services,1,[Synthetic] Tariff on Cloud_AI_Services – US targeting PK (2016),Synthetic/Regulatory Pattern Estimate,0,1,Active,9.31,1
SC0082,2016-06-25,2016,6,FR,France,Europe,TW,Taiwan,Export_Ban,DUV_Lithography,2,[Synthetic] Export_Ban on DUV_Lithography – FR targeting TW (2016),Synthetic/Regulatory Pattern Estimate,1,0,Active,10.18,1
SC0084,2016-06-18,2016,6,DE,Germany,Europe,AE,United Arab Emirates,Data_Localization,Telecom_5G_Infrastructure,4,[Synthetic] Data_Localization on Telecom_5G_Infrastructure – DE targeting AE (2016),Synthetic/Regulatory Pattern Estimate,0,0,Active,29.32,1
SC0085,2016-06-24,2016,6,KR,South Korea,Asia-Pacific,RU,RU,Entity_Blacklist,Semiconductor_Equipment,1,[Synthetic] Entity_Blacklist on Semiconductor_Equipment – KR targeting RU (2016),Synthetic/Regulatory Pattern Estimate,1,1,Active,5.34,1
SC0091,2016-06-14,2016,6,NL,Netherlands,Europe,SA,Saudi Arabia,Data_Localization,AI_Accelerator,1,[Synthetic] Data_Localization on AI_Accelerator – NL targeting SA (2016),Synthetic/Regulatory Pattern Estimate,0,0,Active,9.37,1
SC0095,2016-06-18,2016,6,DE,Germany,Europe,CN,China,License_Requirement,HBM_Memory,1,[Synthetic] License_Requirement on HBM_Memory – DE targeting CN (2016),Synthetic/Regulatory Pattern Estimate,1,1,Active,10.73,1
SC0101,2016-06-15,2016,6,EU,EU,Europe,SA,Saudi Arabia,Technology_Transfer_Ban,Advanced_Logic_Chip,1,[Synthetic] Technology_Transfer_Ban on Advanced_Logic_Chip – EU targeting SA (2016),Synthetic/Regulatory Pattern Estimate,0,0,Active,3.7,1
SC0104,2016-06-05,2016,6,US,United States,North America,IR,IR,Entity_Blacklist,Semiconductor_Equipment,3,[Synthetic] Entity_Blacklist on Semiconductor_Equipment – US targeting IR (2016),Synthetic/Regulatory Pattern Estimate,0,0,Active,14.85,1
SC0109,2016-06-18,2016,6,FR,France,Europe,CN,China,Entity_Blacklist,HBM_Memory,5,[Synthetic] Entity_Blacklist on HBM_Memory – FR targeting CN (2016),Synthetic/Regulatory Pattern Estimate,0,0,Active,28.64,1
SC0111,2016-06-03,2016,6,NL,Netherlands,Europe,TW,Taiwan,Technology_Transfer_Ban,Dual_Use_Electronics,1,[Synthetic] Technology_Transfer_Ban on Dual_Use_Electronics – NL targeting TW (2016),Synthetic/Regulatory Pattern Estimate,1,0,Active,1.52,1
SC0081,2016-07-26,2016,7,FR,France,Europe,PK,Pakistan,Tariff,GPU_High_End,1,[Synthetic] Tariff on GPU_High_End – FR targeting PK (2016),Synthetic/Regulatory Pattern Estimate,1,1,Active,8.09,1
SC0078,2016-08-13,2016,8,KR,South Korea,Asia-Pacific,AE,United Arab Emirates,Tariff,HBM_Memory,2,[Synthetic] Tariff on HBM_Memory – KR targeting AE (2016),Synthetic/Regulatory Pattern Estimate,0,1,Active,12.26,1
SC0088,2016-08-10,2016,8,FR,France,Europe,TW,Taiwan,Tariff,Cloud_AI_Services,3,[Synthetic] Tariff on Cloud_AI_Services – FR targeting TW (2016),Synthetic/Regulatory Pattern Estimate,1,0,Active,21.94,1
SC0110,2016-08-25,2016,8,US,United States,North America,RU,RU,Export_Ban,DUV_Lithography,4,[Synthetic] Export_Ban on DUV_Lithography – US targeting RU (2016),Synthetic/Regulatory Pattern Estimate,1,0,Active,10.52,1
SC0086,2016-09-23,2016,9,DE,Germany,Europe,SA,Saudi Arabia,Technology_Transfer_Ban,DUV_Lithography,5,[Synthetic] Technology_Transfer_Ban on DUV_Lithography – DE targeting SA (2016),Synthetic/Regulatory Pattern Estimate,0,1,Active,21.87,1
SC0102,2016-09-05,2016,9,FR,France,Europe,CN,China,Tariff,GPU_High_End,3,[Synthetic] Tariff on GPU_High_End – FR targeting CN (2016),Synthetic/Regulatory Pattern Estimate,0,0,Active,3.3,1
SC0112,2016-09-14,2016,9,US,United States,North America,RU,RU,Entity_Blacklist,Telecom_5G_Infrastructure,2,[Synthetic] Entity_Blacklist on Telecom_5G_Infrastructure – US targeting RU (2016),Synthetic/Regulatory Pattern Estimate,1,1,Active,16.11,1
SC0093,2016-10-21,2016,10,US,United States,North America,CN,China,License_Requirement,AI_Training_Data,4,[Synthetic] License_Requirement on AI_Training_Data – US targeting CN (2016),Synthetic/Regulatory Pattern Estimate,1,0,Active,6.98,1
SC0094,2016-10-23,2016,10,JP,Japan,Asia-Pacific,AE,United Arab Emirates,Export_Ban,GPU_High_End,2,[Synthetic] Export_Ban on GPU_High_End – JP targeting AE (2016),Synthetic/Regulatory Pattern Estimate,1,0,Active,10.1,1
SC0083,2016-11-02,2016,11,KR,South Korea,Asia-Pacific,IN,India,Export_Ban,HBM_Memory,2,[Synthetic] Export_Ban on HBM_Memory – KR targeting IN (2016),Synthetic/Regulatory Pattern Estimate,0,0,Active,15.6,1
SC0090,2016-11-18,2016,11,KR,South Korea,Asia-Pacific,PK,Pakistan,License_Requirement,DUV_Lithography,5,[Synthetic] License_Requirement on DUV_Lithography – KR targeting PK (2016),Synthetic/Regulatory Pattern Estimate,1,1,Active,19.5,1
SC0098,2016-11-15,2016,11,US,United States,North America,IN,India,License_Requirement,AI_Accelerator,2,[Synthetic] License_Requirement on AI_Accelerator – US targeting IN (2016),Synthetic/Regulatory Pattern Estimate,0,1,Active,22.64,1
SC0099,2016-11-06,2016,11,DE,Germany,Europe,IN,India,Technology_Transfer_Ban,HBM_Memory,3,[Synthetic] Technology_Transfer_Ban on HBM_Memory – DE targeting IN (2016),Synthetic/Regulatory Pattern Estimate,1,0,Active,5.53,1
SC0087,2016-12-15,2016,12,JP,Japan,Asia-Pacific,IN,India,Tariff,Dual_Use_Electronics,5,[Synthetic] Tariff on Dual_Use_Electronics – JP targeting IN (2016),Synthetic/Regulatory Pattern Estimate,0,0,Active,27.39,1
SC0089,2016-12-06,2016,12,EU,EU,Europe,RU,RU,Export_Ban,Dual_Use_Electronics,3,[Synthetic] Export_Ban on Dual_Use_Electronics – EU targeting RU (2016),Synthetic/Regulatory Pattern Estimate,0,0,Active,17.13,1
SC0100,2016-12-11,2016,12,DE,Germany,Europe,RU,RU,Tariff,Dual_Use_Electronics,5,[Synthetic] Tariff on Dual_Use_Electronics – DE targeting RU (2016),Synthetic/Regulatory Pattern Estimate,0,0,Active,57.87,1
SC0118,2017-01-11,2017,1,NL,Netherlands,Europe,SA,Saudi Arabia,Export_Ban,Semiconductor_Equipment,4,[Synthetic] Export_Ban on Semiconductor_Equipment – NL targeting SA (2017),Synthetic/Regulatory Pattern Estimate,1,0,Active,12.05,1
SC0147,2017-01-25,2017,1,FR,France,Europe,RU,RU,Entity_Blacklist,HBM_Memory,5,[Synthetic] Entity_Blacklist on HBM_Memory – FR targeting RU (2017),Synthetic/Regulatory Pattern Estimate,0,0,Active,23.81,1
SC0143,2017-02-24,2017,2,EU,EU,Europe,IR,IR,Export_Ban,EUV_Lithography,5,[Synthetic] Export_Ban on EUV_Lithography – EU targeting IR (2017),Synthetic/Regulatory Pattern Estimate,0,0,Active,30.96,1
SC0131,2017-03-11,2017,3,US,United States,North America,PK,Pakistan,Entity_Blacklist,Quantum_Computing,1,[Synthetic] Entity_Blacklist on Quantum_Computing – US targeting PK (2017),Synthetic/Regulatory Pattern Estimate,1,0,Active,4.26,1
SC0127,2017-04-05,2017,4,FR,France,Europe,SA,Saudi Arabia,Data_Localization,Advanced_Logic_Chip,2,[Synthetic] Data_Localization on Advanced_Logic_Chip – FR targeting SA (2017),Synthetic/Regulatory Pattern Estimate,0,1,Active,11.98,1
SC0129,2017-04-21,2017,4,FR,France,Europe,TW,Taiwan,Entity_Blacklist,Dual_Use_Electronics,5,[Synthetic] Entity_Blacklist on Dual_Use_Electronics – FR targeting TW (2017),Synthetic/Regulatory Pattern Estimate,0,0,Active,43.97,1
SC0136,2017-04-08,2017,4,NL,Netherlands,Europe,TW,Taiwan,Export_Ban,Advanced_Logic_Chip,1,[Synthetic] Export_Ban on Advanced_Logic_Chip – NL targeting TW (2017),Synthetic/Regulatory Pattern Estimate,1,0,Active,7.84,1
SC0137,2017-04-03,2017,4,NL,Netherlands,Europe,AE,United Arab Emirates,Entity_Blacklist,Gallium_Germanium,5,[Synthetic] Entity_Blacklist on Gallium_Germanium – NL targeting AE (2017),Synthetic/Regulatory Pattern Estimate,1,1,Active,46.83,1
SC0138,2017-04-14,2017,4,JP,Japan,Asia-Pacific,IR,IR,License_Requirement,Telecom_5G_Infrastructure,1,[Synthetic] License_Requirement on Telecom_5G_Infrastructure – JP targeting IR (2017),Synthetic/Regulatory Pattern Estimate,1,1,Active,8.98,1
SC0140,2017-04-17,2017,4,EU,EU,Europe,CN,China,License_Requirement,Quantum_Computing,1,[Synthetic] License_Requirement on Quantum_Computing – EU targeting CN (2017),Synthetic/Regulatory Pattern Estimate,1,1,Active,10.04,1
SC0141,2017-04-10,2017,4,EU,EU,Europe,CN,China,Technology_Transfer_Ban,Advanced_Logic_Chip,3,[Synthetic] Technology_Transfer_Ban on Advanced_Logic_Chip – EU targeting CN (2017),Synthetic/Regulatory Pattern Estimate,1,0,Active,24.31,1
SC0121,2017-05-07,2017,5,NL,Netherlands,Europe,CN,China,Tariff,GPU_High_End,4,[Synthetic] Tariff on GPU_High_End – NL targeting CN (2017),Synthetic/Regulatory Pattern Estimate,0,0,Active,24.32,1
SC0142,2017-05-20,2017,5,NL,Netherlands,Europe,RU,RU,Export_Ban,Quantum_Computing,5,[Synthetic] Export_Ban on Quantum_Computing – NL targeting RU (2017),Synthetic/Regulatory Pattern Estimate,0,0,Active,27.13,1
SC0115,2017-06-12,2017,6,JP,Japan,Asia-Pacific,AE,United Arab Emirates,Export_Ban,Telecom_5G_Infrastructure,3,[Synthetic] Export_Ban on Telecom_5G_Infrastructure – JP targeting AE (2017),Synthetic/Regulatory Pattern Estimate,0,0,Active,20.79,1
SC0145,2017-06-23,2017,6,US,United States,North America,SA,Saudi Arabia,Entity_Blacklist,Quantum_Computing,1,[Synthetic] Entity_Blacklist on Quantum_Computing – US targeting SA (2017),Synthetic/Regulatory Pattern Estimate,0,0,Active,10.64,1
SC0113,2017-07-21,2017,7,NL,Netherlands,Europe,IR,IR,Tariff,Cloud_AI_Services,5,[Synthetic] Tariff on Cloud_AI_Services – NL targeting IR (2017),Synthetic/Regulatory Pattern Estimate,0,0,Active,8.54,1
SC0114,2017-07-11,2017,7,US,United States,North America,SA,Saudi Arabia,Export_Ban,AI_Accelerator,4,[Synthetic] Export_Ban on AI_Accelerator – US targeting SA (2017),Synthetic/Regulatory Pattern Estimate,1,0,Active,36.29,1
SC0123,2017-07-17,2017,7,DE,Germany,Europe,AE,United Arab Emirates,Export_Ban,HBM_Memory,4,[Synthetic] Export_Ban on HBM_Memory – DE targeting AE (2017),Synthetic/Regulatory Pattern Estimate,0,0,Active,35.85,1
SC0128,2017-07-08,2017,7,DE,Germany,Europe,AE,United Arab Emirates,Entity_Blacklist,Advanced_Logic_Chip,3,[Synthetic] Entity_Blacklist on Advanced_Logic_Chip – DE targeting AE (2017),Synthetic/Regulatory Pattern Estimate,1,0,Active,31.1,1
SC0130,2017-07-25,2017,7,JP,Japan,Asia-Pacific,TW,Taiwan,Entity_Blacklist,AI_Training_Data,5,[Synthetic] Entity_Blacklist on AI_Training_Data – JP targeting TW (2017),Synthetic/Regulatory Pattern Estimate,0,0,Active,6.81,1
SC0132,2017-08-24,2017,8,DE,Germany,Europe,SA,Saudi Arabia,Tariff,EUV_Lithography,2,[Synthetic] Tariff on EUV_Lithography – DE targeting SA (2017),Synthetic/Regulatory Pattern Estimate,0,0,Active,21.16,1
SC0144,2017-08-01,2017,8,DE,Germany,Europe,IN,India,Entity_Blacklist,Gallium_Germanium,5,[Synthetic] Entity_Blacklist on Gallium_Germanium – DE targeting IN (2017),Synthetic/Regulatory Pattern Estimate,0,0,Active,44.42,1
SC0124,2017-09-23,2017,9,NL,Netherlands,Europe,IR,IR,Export_Ban,GPU_High_End,2,[Synthetic] Export_Ban on GPU_High_End – NL targeting IR (2017),Synthetic/Regulatory Pattern Estimate,1,0,Active,6.11,1
SC0126,2017-09-09,2017,9,JP,Japan,Asia-Pacific,AE,United Arab Emirates,Export_Ban,AI_Training_Data,3,[Synthetic] Export_Ban on AI_Training_Data – JP targeting AE (2017),Synthetic/Regulatory Pattern Estimate,1,0,Active,18.82,1
SC0116,2017-10-05,2017,10,FR,France,Europe,IR,IR,Technology_Transfer_Ban,GPU_High_End,2,[Synthetic] Technology_Transfer_Ban on GPU_High_End – FR targeting IR (2017),Synthetic/Regulatory Pattern Estimate,0,1,Active,6.37,1
SC0133,2017-10-20,2017,10,NL,Netherlands,Europe,CN,China,Tariff,Dual_Use_Electronics,5,[Synthetic] Tariff on Dual_Use_Electronics – NL targeting CN (2017),Synthetic/Regulatory Pattern Estimate,0,1,Active,6.01,1
SC0139,2017-10-24,2017,10,JP,Japan,Asia-Pacific,RU,RU,Export_Ban,Cloud_AI_Services,1,[Synthetic] Export_Ban on Cloud_AI_Services – JP targeting RU (2017),Synthetic/Regulatory Pattern Estimate,1,0,Active,8.61,1
SC0122,2017-11-28,2017,11,DE,Germany,Europe,SA,Saudi Arabia,Data_Localization,AI_Accelerator,1,[Synthetic] Data_Localization on AI_Accelerator – DE targeting SA (2017),Synthetic/Regulatory Pattern Estimate,1,1,Active,2.64,1
SC0134,2017-11-01,2017,11,NL,Netherlands,Europe,AE,United Arab Emirates,Data_Localization,AI_Accelerator,4,[Synthetic] Data_Localization on AI_Accelerator – NL targeting AE (2017),Synthetic/Regulatory Pattern Estimate,0,1,Active,27.99,1
SC0146,2017-11-12,2017,11,KR,South Korea,Asia-Pacific,IR,IR,Export_Ban,Cloud_AI_Services,4,[Synthetic] Export_Ban on Cloud_AI_Services – KR targeting IR (2017),Synthetic/Regulatory Pattern Estimate,0,0,Active,15.98,1
SC0117,2017-12-28,2017,12,JP,Japan,Asia-Pacific,TW,Taiwan,Export_Ban,AI_Accelerator,1,[Synthetic] Export_Ban on AI_Accelerator – JP targeting TW (2017),Synthetic/Regulatory Pattern Estimate,0,1,Active,6.93,1
SC0119,2017-12-18,2017,12,JP,Japan,Asia-Pacific,AE,United Arab Emirates,Tariff,DUV_Lithography,5,[Synthetic] Tariff on DUV_Lithography – JP targeting AE (2017),Synthetic/Regulatory Pattern Estimate,1,1,Active,29.13,1
SC0120,2017-12-23,2017,12,DE,Germany,Europe,TW,Taiwan,Export_Ban,Advanced_Logic_Chip,5,[Synthetic] Export_Ban on Advanced_Logic_Chip – DE targeting TW (2017),Synthetic/Regulatory Pattern Estimate,0,0,Active,48.98,1
SC0125,2017-12-06,2017,12,DE,Germany,Europe,RU,RU,Export_Ban,HBM_Memory,3,[Synthetic] Export_Ban on HBM_Memory – DE targeting RU (2017),Synthetic/Regulatory Pattern Estimate,1,1,Active,27.37,1
SC0135,2017-12-21,2017,12,EU,EU,Europe,IR,IR,Data_Localization,EUV_Lithography,4,[Synthetic] Data_Localization on EUV_Lithography – EU targeting IR (2017),Synthetic/Regulatory Pattern Estimate,1,0,Active,36.02,1
SC0150,2018-01-15,2018,1,FR,France,Europe,SA,Saudi Arabia,Technology_Transfer_Ban,Gallium_Germanium,5,[Synthetic] Technology_Transfer_Ban on Gallium_Germanium – FR targeting SA (2018),Synthetic/Regulatory Pattern Estimate,0,1,Active,14.84,1
SC0153,2018-01-21,2018,1,NL,Netherlands,Europe,TW,Taiwan,Data_Localization,GPU_High_End,2,[Synthetic] Data_Localization on GPU_High_End – NL targeting TW (2018),Synthetic/Regulatory Pattern Estimate,0,1,Active,20.12,1
SC0161,2018-01-04,2018,1,JP,Japan,Asia-Pacific,AE,United Arab Emirates,Export_Ban,Gallium_Germanium,1,[Synthetic] Export_Ban on Gallium_Germanium – JP targeting AE (2018),Synthetic/Regulatory Pattern Estimate,0,1,Active,6.24,1
SC0162,2018-01-11,2018,1,DE,Germany,Europe,RU,RU,Data_Localization,Cloud_AI_Services,2,[Synthetic] Data_Localization on Cloud_AI_Services – DE targeting RU (2018),Synthetic/Regulatory Pattern Estimate,0,1,Active,7.94,1
